Libellé;idBank
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vaucluse;1744434
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vendée;1744435
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vienne;1744436
Indicateur conjoncturel de fécondité des femmes - Ensemble - Haute-Vienne;1744437
Indicateur conjoncturel de fécondité des femmes - Ensemble - Vosges;1744438
Indicateur conjoncturel de fécondité des femmes - Ensemble - Yonne;1744439
Indicateur conjoncturel de fécondité des femmes - Ensemble - Territoire de Belfort;1744440
Indicateur conjoncturel de fécondité des femmes - Ensemble - Essonne;1744441
Indicateur conjoncturel de fécondité des femmes - Ensemble - Hauts-de-Seine;1744442
Indicateur conjoncturel de fécondité des femmes - Ensemble - Seine-Saint-Denis;1744443
Indicateur conjoncturel de fécondité des femmes - Ensemble - Val-de-Marne;1744444
Indicateur conjoncturel de fécondité des femmes - Ensemble - Val-d'Oise;1744445
Indicateur conjoncturel de fécondité des femmes - Ensemble - France métropolitaine;1744512
